"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-01,21.5,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-02,14.2,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-03,28.1,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-04,25.5,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-05,3,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-06,27.9,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-07,11.8,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-08,14.5,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-09,11.7,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
2020-01-10,12,"Wirtschaft","debiteinsatz_ausland","Debitkarteneinsatz Ausland","Ausland","Mio. Fr.","SIX BBS AG","täglich","ja","https://github.com/statistikZH/covid19monitoring_economy_SIX"
